label,count,,,
African American,6,,,
Asian-American,22.2,,,
Caucasian,30.3,,,
International,16.9,,,Student Diversity 
Latino/Hispanic,18.3,,,
Native American,1.2,,,
Native Hawaiian/Pacific Islander,0.9,,,
